Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
,1999 TO13          ,280,JPL#13  ,10-05-1999,0.0312,14.96
,1999 SG10          ,690,JPL#22  ,10/14/1999,0.0909,19.77
,1999 UR            ,320,JPL#02  ,10/22/1999,0.047,10.01
,1999 VF22          ,300,JPL#02  ,10/31/1999,0.0372,25.54
,1999 VR6           ,110,JPL#04  ,11/18/1999,0.0759,21.58
,1999 KW4           ,81000,JPL#42  ,5/29/2000,0.129,19.64
,1999 MN            ,14000,JPL#14  ,06-02-2000,0.1457,20.29
,1999 JV6           ,9500,JPL#17  ,6/16/2000,0.1589,5.84
,1986 JK            ,340000,JPL#18  ,07-11-2000,0.1215,11.51
,1998 BB10          ,8000,JPL#04  ,7/27/2000,0.0799,11.48
4486,Mithra             ,71000,JPL#07  ,8/14/2000,0.0465,17.57
2340,Hathor             ,250000,JPL#10  ,10/25/2000,0.197,19.42
4179,Toutatis           ,77000000,JPL#69  ,10/31/2000,0.0739,9.71
,1994 XL1           ,94000,JPL#03  ,11/26/2000,0.137,17.05
,1998 FG2           ,51000,JPL#01  ,12/19/2000,0.1581,7.57
4183,Cuno               ,220000,JPL#11  ,12/22/2000,0.1427,21.2
,1998 VD35          ,110000,JPL#16  ,01-02-2001,0.0991,11.29
,1994 WR12          ,100000,JPL#11  ,1/17/2001,0.0987,12.33
,1998 WT            ,2500,JPL#13  ,2/26/2001,0.1411,22.91
,1998 SF36          ,5400,JPL#12  ,3/28/2001,0.0377,7.06
4034,1986 PA            ,300000,JPL#07  ,04-03-2001,0.1465,12.49
,1999 KW4           ,20000,JPL#42  ,5/25/2001,0.0322,20.47
,1998 HD14          ,6800,JPL#05  ,8/26/2001,0.0755,9.82
,1998 ST27          ,1400,JPL#16  ,10-12-2001,0.0611,15.77
,1998 WT24          ,7200,JPL#11  ,12/16/2001,0.0114,8.89
3362,Khufu              ,400000,JPL#06  ,12/29/2001,0.1596,13.11
4660,Nereus             ,37000,JPL#09  ,1/22/2002,0.029,5.42
